date,mean_pin,n_stocks
2021-04-15,0.21409090193231284,11
2021-04-29,0.21780915370945417,11
2021-05-13,0.21746114833117833,11
2021-05-31,0.2366268448672888,11
2021-06-14,0.24477518309134913,11
2021-06-28,0.23599367569431848,11
2021-07-12,0.21288156602002378,11
2021-07-28,0.22015230392622576,11
2021-08-11,0.20845170942829772,11
2021-08-29,0.20630095599016418,11
2021-09-14,0.20692699177098606,11
2021-10-03,0.19592966993572805,11
2021-10-25,0.20385718915707837,11
2021-11-14,0.19354277627950356,11
2021-11-28,0.2294978386842993,11
2021-12-12,0.2176011019060646,11
2021-12-28,0.20143731377357652,11
2022-01-16,0.19430380085495472,11
2022-01-31,0.2004148133430862,11
2022-02-16,0.18903458794807085,11
2022-03-07,0.19853285384091873,11
2022-03-24,0.20421872936800858,11
2022-04-07,0.20342682252288932,11
2022-04-26,0.18934879832060955,11
2022-05-17,0.18609472470854282,11
2022-06-07,0.2266813766275382,11
2022-06-23,0.21937145578128192,11
2022-07-07,0.21203591453459755,11
2022-07-25,0.21839842472976062,11
2022-08-08,0.23527736729136997,11
2022-08-22,0.23181401650988442,11
2022-09-05,0.2310271501593251,11
2022-09-22,0.23515130511833993,11
2022-10-20,0.23830997613553515,11
2022-11-13,0.24436956820655523,11
2022-11-29,0.2010770261738359,11
2022-12-15,0.170904917326512,11
2023-01-01,0.16740873198028397,11
2023-01-18,0.2495721032553896,11
2023-02-06,0.2442334545400424,11
2023-02-28,0.23404035360902853,11
2023-03-19,0.23143267230136344,11
2023-04-04,0.23415182702421802,11
2023-04-18,0.22826321026797078,11
2023-05-03,0.21069889754407545,11
2023-05-17,0.1850577479468164,11
2023-06-05,0.20544221359307507,11
2023-06-19,0.20331229178227084,11
2023-07-05,0.2312784453672063,11
2023-07-19,0.23910000840033893,11
2023-08-02,0.23291793414542275,11
2023-08-16,0.23325339988597893,11
2023-08-30,0.2307192705030456,11
2023-09-24,0.23285911174339266,11
2023-10-10,0.21507471641587206,11
2023-11-05,0.2345140952543461,11
2023-11-27,0.2208615565571649,11
2023-12-11,0.20534937079647853,11
2023-12-28,0.23681093689347962,11
2024-01-18,0.2692104081956616,11
2024-02-04,0.29629470923798473,11
2024-02-21,0.2775027688058735,11
2024-03-06,0.23658300558128112,11
2024-03-26,0.2355186997792993,11
2024-04-16,0.24837004216713712,11
2024-05-07,0.25092442783140867,11
2024-05-21,0.2137546830215234,11
2024-06-11,0.17911761286568761,11
2024-06-27,0.15658812979051065,11
2024-07-11,0.1704555200555592,11
2024-07-25,0.2587213942992264,11
2024-08-12,0.33189442473315955,11
2024-09-01,0.3485452109256686,11
2024-09-15,0.32098079598958384,11
2024-10-02,0.27579909448503187,11
2024-10-24,0.24396549268041656,11
2024-11-17,0.25576697717377156,11
2024-12-03,0.25327452752422813,11
2024-12-19,0.22140013947641518,11
2025-01-07,0.20928449541174585,11
2025-01-23,0.19712713246397426,11
2025-02-11,0.19786702684295332,11
2025-03-03,0.18982647464847205,11
2025-03-19,0.18949053881108407,11
2025-04-08,0.17804339010263026,11
2025-04-23,0.20238199005158278,11
2025-05-08,0.19853837565020768,11
2025-05-26,0.2111513223242664,11
2025-06-12,0.1953617619899407,11
2025-06-26,0.18022579600643432,11
2025-07-10,0.175456097424775,11
2025-07-24,0.21485164873778603,11
2025-08-07,0.2259298959167907,11
2025-08-25,0.2214629276951752,11
2025-09-08,0.22011003604546142,11
2025-10-13,0.22433405256652073,11
2025-11-04,0.2411520443138399,11
2025-11-18,0.23546803453304552,11
2025-12-02,0.1895887180312628,11
2025-12-18,0.1818648651174156,11
2026-01-06,0.17615274388403174,11
2026-01-27,0.1935329524146997,11
2026-02-10,0.218092542678758,11
2026-03-10,0.22707052794689425,11
